,Mom   
19280601,   0.17
19280602,   0.45
19280604,  -1.19
19280605,   0.52
19280606,  -0.43
19280607,   0.32
19280608,  -0.50
19280609,  -0.33
19280611,  -1.62
19280612,  -1.50
19280613,   1.11
19280614,   1.00
19280615,  -1.23
19280616,   0.47
19280618,  -0.27
19280619,  -0.05
19280620,   1.40
19280621,  -0.91
19280622,   0.08
19280623,  -0.39
19280625,   0.19
19280626,   0.98
19280627,   0.89
19280628,   1.16
19280629,   0.20
19280630,   0.06
19280702,  -0.87
19280703,   1.17
19280705,   0.17
19280706,  -0.55
19280707,  -0.16
19280709,   0.32
19280710,   0.53
19280711,  -1.14
19280712,  -0.58
19280713,   0.40
19280714,  -0.20
19280716,  -0.20
19280717,   0.76
19280718,   0.63
19280719,  -0.06
19280720,   0.03
19280721,  -0.04
19280723,   0.05
19280724,  -0.03
19280725,   0.29
19280726,   0.06
19280727,   0.52
19280728,   0.22
19280730,   0.21
19280731,   0.07
19280801,   0.09
19280802,  -0.27
19280803,   0.22
19280804,  -0.07
19280806,   0.61
19280807,  -0.02
19280808,  -0.81
19280809,   0.56
19280810,  -0.04
19280811,  -0.38
19280813,   0.12
19280814,  -0.48
19280815,   0.78
19280816,   0.19
19280817,   0.22
19280818,  -0.02
19280820,  -0.05
19280821,   0.09
19280822,   0.40
19280823,   0.49
19280824,   1.08
19280825,   0.13
19280827,  -0.51
19280828,  -0.09
19280829,   0.31
19280830,   0.50
19280831,   0.47
19280901,  -0.02
19280904,   0.01
19280905,   0.52
19280906,  -0.16
19280907,   0.68
19280908,  -0.42
19280910,   0.06
19280911,   0.62
19280912,   0.42
19280913,   0.29
19280914,  -0.45
19280915,  -0.02
19280917,   0.64
19280918,   0.43
19280919,   0.12
19280920,   0.73
19280921,   1.20
19280922,   0.02
19280924,   0.66
19280925,   0.29
19280926,  -0.34
19280927,  -1.16
19280928,   0.32
19280929,   0.84
19281001,  -0.02
19281002,   0.29
19281003,   0.23
19281004,   0.84
19281005,   0.13
19281006,  -0.11
19281008,  -0.10
19281009,   0.62
19281010,   0.13
19281011,   1.01
19281013,   0.40
19281015,  -0.01
19281016,  -0.03
19281017,   0.14
19281018,   0.33
19281019,   0.59
19281020,  -0.49
19281022,  -0.42
19281023,   0.70
19281024,   0.19
19281025,  -0.09
19281026,  -0.62
19281027,   0.75
19281029,  -0.15
19281030,  -0.41
19281031,  -0.50
19281101,   0.57
19281102,  -0.01
19281103,  -0.06
19281105,   0.59
19281107,   0.85
19281108,  -0.33
19281109,  -0.21
19281110,   0.67
19281112,   0.24
19281113,   0.01
19281114,  -0.55
19281115,   0.14
19281116,  -0.09
19281117,   0.07
19281119,  -0.52
19281120,   0.28
19281121,  -0.53
19281122,   0.90
19281123,   0.50
19281126,  -0.28
19281127,  -0.26
19281128,   0.93
19281130,   0.66
19281201,   0.03
19281203,  -0.63
19281204,   0.69
19281205,  -0.24
19281206,  -1.84
19281207,  -1.94
19281208,  -1.45
19281210,   1.27
19281211,   1.36
19281212,  -0.52
19281213,  -0.78
19281214,  -0.11
19281215,  -0.29
19281217,  -0.70
19281218,   1.37
19281219,   0.86
19281220,   0.53
19281221,   0.96
19281222,   0.50
19281224,   0.59
19281226,  -0.44
19281227,   0.73
19281228,   0.46
19281229,   0.37
19281231,   0.63
19290102,   0.92
19290103,  -0.12
19290104,  -0.80
19290105,  -0.18
19290107,   0.16
19290108,   0.21
19290109,   0.68
19290110,  -0.02
19290111,  -0.11
19290112,  -0.04
19290114,  -0.21
19290115,  -0.36
19290116,   0.96
19290117,   0.93
19290118,   0.35
19290119,   0.44
19290121,   0.05
19290122,   0.81
19290123,  -0.17
19290124,  -0.01
19290125,   0.54
19290126,   0.31
19290128,   0.19
19290129,  -0.05
19290130,  -0.24
19290131,  -0.60
19290201,   0.64
19290202,   0.09
19290204,   0.05
19290205,   0.58
19290206,  -0.36
19290207,  -1.15
19290208,  -0.67
19290211,   2.46
19290213,   0.34
19290214,  -0.23
19290215,  -1.17
19290216,  -0.67
19290218,   1.52
19290219,   0.44
19290220,   0.47
19290221,  -0.09
19290225,   0.11
19290226,   0.24
19290227,   0.57
19290228,   0.76
19290301,   0.64
19290302,  -0.27
19290304,  -0.28
19290305,  -0.46
19290306,  -0.22
19290307,   0.53
19290308,   0.17
19290309,  -0.38
19290311,  -0.81
19290312,   0.27
19290313,   0.43
19290314,   0.85
19290315,  -0.39
19290316,   0.13
19290318,  -0.44
19290319,   0.14
19290320,  -0.99
19290321,   0.08
19290322,  -0.54
19290323,  -0.29
19290325,  -0.99
19290326,   0.61
19290327,   0.58
19290328,   0.20
19290401,  -0.40
19290402,  -0.81
19290403,  -0.32
19290404,   1.15
19290405,   0.18
19290406,  -0.34
19290408,  -0.61
19290409,  -0.53
19290410,   0.39
19290411,   1.07
19290412,  -0.37
19290413,  -0.51
19290415,  -0.86
19290416,   0.19
19290417,   1.02
19290418,   0.11
19290419,  -0.27
19290420,   0.27
19290422,   1.14
19290423,  -0.22
19290424,  -0.63
19290425,   0.40
19290426,  -0.08
19290427,   0.58
19290429,   0.53
19290430,   1.43
19290501,   0.65
19290502,   0.92
19290503,   0.23
19290504,  -0.41
19290506,  -0.11
19290507,  -1.02
19290508,  -0.23
19290509,   0.02
19290510,   0.74
19290511,   0.39
19290513,  -1.16
19290514,   1.06
19290515,  -0.30
19290516,  -0.09
19290517,   0.51
19290518,  -0.14
19290520,  -1.67
19290521,   0.78
19290522,  -0.98
19290523,   1.24
19290524,  -0.63
19290525,   0.50
19290527,  -1.13
19290528,   1.36
19290529,  -0.58
19290531,   0.32
19290601,   0.67
19290603,   0.09
19290604,   1.20
19290605,   0.01
19290606,  -0.07
19290607,  -0.11
19290608,  -0.10
19290610,  -0.04
19290611,   0.91
19290612,   0.64
19290613,   0.25
19290614,   0.36
19290615,   0.44
19290617,  -0.41
19290618,   0.01
19290619,  -0.18
19290620,   0.67
19290621,   0.12
19290622,  -0.04
19290624,   0.25
19290625,   0.52
19290626,   0.80
19290627,   0.75
19290628,   1.18
19290629,   0.39
19290701,  -0.14
19290702,   0.94
19290703,   0.21
19290705,  -1.36
19290706,  -0.02
19290708,  -0.70
19290709,  -0.12
19290710,   0.17
19290711,   0.32
19290712,   0.55
19290713,   0.39
19290715,   0.01
19290716,   0.60
19290717,   0.80
19290718,   0.43
19290719,   0.73
19290720,   0.25
19290722,   0.10
19290723,   0.59
19290724,   0.38
19290725,   0.03
19290726,   0.68
19290727,  -0.26
19290729,  -0.56
19290730,   0.24
19290731,   0.65
19290801,   0.95
19290802,   0.70
19290803,  -0.59
19290805,   0.40
19290806,   0.08
19290807,   0.59
19290808,   0.38
19290809,  -0.44
19290810,   0.27
19290812,   0.72
19290813,   0.43
19290814,   0.35
19290815,  -0.60
19290816,  -0.78
19290817,   0.22
19290819,   0.27
19290820,  -0.06
19290821,  -1.02
19290822,   0.99
19290823,   0.44
19290824,   0.16
19290826,   0.74
19290827,   0.46
19290828,  -0.34
19290829,   0.13
19290830,   1.07
19290903,   0.66
19290904,  -1.80
19290905,   0.18
19290906,  -0.28
19290907,   0.14
19290909,   0.82
19290910,   0.05
19290911,   0.28
19290912,  -0.56
19290913,   0.01
19290914,  -0.45
19290916,  -0.67
19290917,  -0.10
19290918,   1.35
19290919,   0.37
19290920,   0.62
19290921,   0.07
19290923,   0.83
19290924,  -0.69
19290925,   0.32
19290926,   0.72
19290927,  -0.41
19290928,  -0.17
19290930,   0.27
19291001,   0.26
19291002,  -0.14
19291003,  -0.05
19291004,   0.61
19291005,  -1.56
19291007,  -0.36
19291008,  -0.12
19291009,   0.34
19291010,   1.77
19291011,   0.54
19291014,  -1.12
19291015,  -0.14
19291016,  -1.28
19291017,   1.02
19291018,  -0.25
19291019,  -0.36
19291021,   0.55
19291022,   1.33
19291023,   0.02
19291024,   2.60
19291025,  -0.56
19291026,  -1.83
19291028,  -0.85
19291029,   3.82
19291030,   3.68
19291031,  -0.52
19291104,  -2.74
19291106,  -1.29
19291107,   3.84
19291108,  -2.33
19291111,  -1.67
19291112,   1.62
19291113,   2.15
19291114,   0.72
19291115,  -3.28
19291118,  -0.99
19291119,   0.75
19291120,   0.03
19291121,   0.96
19291122,  -0.94
19291125,   0.30
19291126,   1.78
19291127,   0.56
19291202,   0.33
19291203,  -1.21
19291204,   0.25
19291205,   0.57
19291206,  -0.34
19291207,  -0.32
19291209,  -2.23
19291210,  -1.60
19291211,   1.00
19291212,   3.14
19291213,  -1.87
19291214,  -0.68
19291216,   0.92
19291217,   0.38
19291218,   0.59
19291219,   1.95
19291220,   2.55
19291221,  -1.97
19291223,   1.06
19291224,   0.27
19291226,  -0.71
19291227,   0.54
19291228,   0.68
19291230,   2.07
19291231,  -1.35
19300102,  -1.24
19300103,  -0.57
19300104,  -0.11
19300106,  -0.87
19300107,   0.83
19300108,   0.31
19300109,   0.35
19300110,  -0.07
19300111,   0.52
19300113,  -0.35
19300114,   0.60
19300115,   0.21
19300116,   0.92
19300117,   0.92
19300118,  -0.20
19300120,  -0.78
19300121,  -1.54
19300122,  -1.14
19300123,  -1.65
19300124,  -0.88
19300125,  -0.34
19300127,  -0.02
19300128,   1.49
19300129,  -0.01
19300130,  -0.32
19300131,  -0.71
19300201,  -1.47
19300203,   0.27
19300204,  -0.30
19300205,  -0.40
19300206,   0.61
19300207,   0.47
19300208,  -0.29
19300210,   0.08
19300211,  -0.25
19300213,   0.76
19300214,   0.77
19300215,   0.29
19300217,  -0.90
19300218,  -0.29
19300219,   0.33
19300220,   0.38
19300221,  -0.88
19300224,   0.53
19300225,  -0.26
19300226,  -0.36
19300227,  -0.63
19300228,  -0.03
19300301,   0.45
19300303,  -0.12
19300304,  -0.15
19300305,   0.79
19300306,   0.34
19300307,  -0.88
19300308,   0.31
19300310,  -1.69
19300311,  -1.22
19300312,   0.78
19300313,  -0.02
19300314,   0.32
19300315,  -0.16
19300317,  -1.36
19300318,   0.48
19300319,   0.83
19300320,  -0.54
19300321,  -0.01
19300322,   0.27
19300324,  -0.74
19300325,   0.31
19300326,   0.28
19300327,  -0.54
19300328,   0.75
19300329,  -0.50
19300331,  -1.52
19300401,  -0.52
19300402,   0.34
19300403,  -0.30
19300404,  -0.67
19300405,   0.00
19300407,  -0.86
19300408,  -0.43
19300409,  -1.22
19300410,  -0.37
19300411,   0.49
19300412,  -0.40
19300414,   0.26
19300415,   0.73
19300416,  -0.23
19300417,  -0.18
19300421,  -0.63
19300422,   0.13
19300423,  -0.15
19300424,   0.59
19300425,   0.57
19300426,   0.69
19300428,   0.84
19300429,   0.52
19300430,   0.51
19300501,  -1.27
19300502,  -0.24
19300503,   1.05
19300505,   2.92
19300506,  -1.98
19300507,  -0.63
19300508,  -1.78
19300509,   0.09
19300510,  -0.53
19300512,  -0.64
19300513,   0.08
19300514,   0.44
19300515,   0.46
19300516,   0.62
19300517,  -0.62
19300519,   0.08
19300520,   0.62
19300521,  -0.04
19300522,   1.03
19300523,  -0.89
19300524,  -0.75
19300526,   0.31
19300527,   0.58
19300528,   0.31
19300529,   0.19
19300602,  -0.85
19300603,   0.98
19300604,   0.25
19300605,   0.71
19300606,   0.82
19300607,   1.29
19300609,   1.30
19300610,   0.75
19300611,   0.72
19300612,   0.46
19300613,   0.42
19300614,   0.74
19300616,   2.67
19300617,   1.17
19300618,   1.71
19300619,  -0.90
19300620,   0.09
19300621,   0.69
19300623,   0.50
19300624,   0.22
19300625,   0.63
19300626,  -1.66
19300627,   0.66
19300628,   0.48
19300630,  -0.92
19300701,   0.17
19300702,   0.06
19300703,  -0.41
19300707,   1.31
19300708,   0.13
19300709,  -1.41
19300710,  -0.79
19300711,   0.41
19300712,  -0.37
19300714,  -1.97
19300715,  -0.50
19300716,  -0.87
19300717,  -0.85
19300718,  -1.57
19300719,   0.53
19300721,   2.41
19300722,  -0.81
19300723,  -0.50
19300724,   0.60
19300725,   0.04
19300726,  -0.37
19300728,  -0.21
19300729,   0.47
19300730,   1.60
19300731,  -0.34
19300801,   0.22
19300802,  -0.35
19300804,  -0.15
19300805,   0.02
19300806,   0.24
19300807,   0.61
19300808,   1.27
19300809,   0.29
19300811,   0.41
19300812,   1.00
19300813,  -0.03
19300814,   1.48
19300815,  -0.40
19300816,  -0.22
19300818,   0.47
19300819,  -0.49
19300820,   0.19
19300821,   0.12
19300822,   0.32
19300823,  -0.63
19300825,   0.57
19300826,  -0.13
19300827,  -0.01
19300828,  -0.35
19300829,  -0.37
19300902,  -0.66
19300903,   0.26
19300904,   0.38
19300905,  -0.86
19300906,  -0.74
19300908,  -0.38
19300909,  -0.17
19300910,  -0.47
19300911,  -0.66
19300912,  -0.17
19300913,   0.12
19300915,   0.21
19300916,   0.66
19300917,   0.30
19300918,   0.37
19300919,  -0.50
19300920,   0.94
19300922,  -0.22
19300923,   1.48
19300924,   1.17
19300925,   0.47
19300926,   0.86
19300927,   0.59
19300929,   1.48
19300930,   0.97
19301001,  -0.08
19301002,   0.11
19301003,   0.97
19301004,  -1.44
19301006,   0.07
19301007,   1.16
19301008,  -0.78
19301009,   1.28
19301010,   2.35
19301011,  -2.09
19301014,   0.29
19301015,  -1.17
19301016,  -0.10
19301017,   0.28
19301018,   0.83
19301020,  -0.08
19301021,   0.92
19301022,   0.71
19301023,  -0.32
19301024,  -0.50
19301025,   0.47
19301027,  -0.32
19301028,  -0.89
19301029,  -0.38
19301030,   0.25
19301031,   1.47
19301101,   0.22
19301103,   0.06
19301105,   1.49
19301106,   0.06
19301107,   2.03
19301108,   0.00
19301110,   1.05
19301111,   0.11
19301112,  -2.77
19301113,  -2.20
19301114,  -2.61
19301115,  -1.65
19301117,   2.03
19301118,  -0.22
19301119,  -0.95
19301120,   0.38
19301121,  -1.03
19301122,   0.91
19301124,   0.27
19301125,   0.26
19301126,   0.98
19301128,   0.75
19301129,  -0.01
19301201,  -0.33
19301202,  -0.77
19301203,   1.14
19301204,   2.25
19301205,   0.53
19301206,   0.61
19301208,   1.98
19301209,   1.01
19301210,   1.65
19301211,   1.46
19301212,  -0.45
19301213,   2.05
19301215,   0.96
19301216,   2.51
19301217,  -2.12
19301218,  -0.88
19301219,  -0.18
19301220,  -0.47
19301222,   2.01
19301223,   1.49
19301224,  -0.05
19301226,   0.99
19301227,   1.43
19301229,   2.38
19301230,  -2.34
19301231,  -3.29
19310102,  -4.81
19310103,  -3.10
19310105,   0.02
19310106,  -2.30
19310107,  -0.29
19310108,  -2.63
19310109,   0.05
19310110,  -0.11
19310112,   1.50
19310113,   1.89
19310114,  -0.99
19310115,   1.79
19310116,  -0.96
19310117,   0.49
19310119,   0.55
19310120,  -1.68
19310121,   0.04
19310122,  -1.72
19310123,  -2.02
19310124,  -0.15
19310126,   0.58
19310127,  -0.34
19310128,   1.90
19310129,  -1.12
19310130,  -1.28
19310131,   0.84
19310202,  -0.75
19310203,  -0.48
19310204,   0.08
19310205,   0.73
19310206,  -0.33
19310207,  -0.83
19310209,  -2.82
19310210,  -1.53
19310211,  -1.24
19310213,  -0.41
19310214,   0.45
19310216,  -1.66
19310217,   1.18
19310218,  -0.73
19310219,  -1.46
19310220,  -2.25
19310221,  -2.94
19310224,  -2.30
19310225,   1.48
19310226,  -0.73
19310227,  -0.22
19310228,   0.34
19310302,   2.13
19310303,   1.71
19310304,   1.14
19310305,  -1.75
19310306,   2.20
19310307,  -1.39
19310309,   0.40
19310310,   0.49
19310311,   0.09
19310312,   1.89
19310313,   0.04
19310314,  -1.45
19310316,  -1.33
19310317,   0.68
19310318,   0.01
19310319,  -1.20
19310320,  -0.56
19310321,  -0.06
19310323,   0.54
19310324,  -0.14
19310325,   0.63
19310326,   0.55
19310327,   1.39
19310328,   1.55
19310330,   0.68
19310331,   0.23
19310401,   0.88
19310402,   1.07
19310404,  -0.16
19310406,  -0.07
19310407,   0.69
19310408,  -0.04
19310409,   0.29
19310410,  -0.03
19310411,   0.13
19310413,  -1.33
19310414,   1.20
19310415,   0.61
19310416,   0.14
19310417,   0.26
19310418,   0.27
19310420,   1.38
19310421,   0.36
19310422,   0.07
19310423,   1.23
19310424,   1.75
19310425,   0.93
19310427,   1.55
19310428,   0.11
19310429,   0.32
19310430,  -2.55
19310501,   1.76
19310502,  -0.61
19310504,   0.29
19310505,   0.25
19310506,   1.09
19310507,   0.46
19310508,  -1.25
19310509,   0.72
19310511,   0.40
19310512,   0.79
19310513,   0.46
19310514,   1.11
19310515,   0.44
19310516,   0.06
19310518,   1.41
19310519,   0.09
19310520,  -0.77
19310521,  -0.30
19310522,  -0.25
19310523,   0.77
19310525,   1.34
19310526,   0.68
19310527,   1.99
19310528,   0.26
19310529,  -0.80
19310601,   1.99
19310602,   2.66
19310603,  -2.51
19310604,  -3.76
19310605,  -1.52
19310606,   1.19
19310608,  -2.47
19310609,  -0.47
19310610,   0.81
19310611,  -0.87
19310612,   0.57
19310613,  -0.03
19310615,   0.84
19310616,   0.28
19310617,   0.45
19310618,   1.19
19310619,  -0.78
19310620,  -1.19
19310622,  -5.02
19310623,  -1.26
19310624,  -4.25
19310625,  -0.36
19310626,  -1.79
19310627,  -1.04
19310629,   1.13
19310630,   1.19
19310701,  -0.81
19310702,   0.70
19310703,  -2.05
19310706,   1.20
19310707,   3.14
19310708,   2.24
19310709,   0.34
19310710,  -1.07
19310711,   1.01
19310713,   1.53
19310714,   0.57
19310715,   1.15
19310716,  -0.90
19310717,  -0.73
19310718,  -0.02
19310720,  -0.60
19310721,  -0.83
19310722,   1.06
19310723,   0.52
19310724,   0.37
19310725,  -0.74
19310727,   0.30
19310728,   0.25
19310729,   0.74
19310730,   1.04
19310731,   0.16
19310801,   0.34
19310803,  -0.03
19310804,   0.54
19310805,   0.07
19310806,   0.07
19310807,   0.22
19310808,   0.07
19310810,   0.85
19310811,  -0.49
19310812,  -0.22
